endpoint,p,r,g,u_A,u_B,scenario,total_expected_cost_ceiling
report_hypothetical,0.6,0.8,0,0.09,0.29000000000000004,differential,114.90960000000001
report_hypothetical,0.6,0.8,0.3,0.09,0.09,equal,211.62720000000002
report_hypothetical,0.6,0.8,0.3,0.09,0.29000000000000004,differential,72.80472000000003
report_hypothetical,0.6,0.8,0.6,0.09,0.09,equal,172.35840000000002
report_hypothetical,0.6,0.8,0.6,0.09,0.29000000000000004,differential,30.699839999999995
report_hypothetical,0.6,0.8,1,0.09,0.09,equal,120.0
report_hypothetical,0.6,0.8,1,0.09,0.29000000000000004,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.1,0.1,equal,265.44000000000005
report_hypothetical,0.6,0.8,0,0.1,0.30000000000000004,differential,127.27200000000002
report_hypothetical,0.6,0.8,0.3,0.1,0.1,equal,221.80799999999996
report_hypothetical,0.6,0.8,0.3,0.1,0.30000000000000004,differential,81.45839999999998
report_hypothetical,0.6,0.8,0.6,0.1,0.1,equal,178.17599999999993
report_hypothetical,0.6,0.8,0.6,0.1,0.30000000000000004,differential,35.64479999999992
report_hypothetical,0.6,0.8,1,0.1,0.1,equal,120.0
report_hypothetical,0.6,0.8,1,0.1,0.30000000000000004,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.11,0.11,equal,279.984
report_hypothetical,0.6,0.8,0,0.11,0.31,differential,139.63440000000003
report_hypothetical,0.6,0.8,0.3,0.11,0.11,equal,231.98879999999997
report_hypothetical,0.6,0.8,0.3,0.11,0.31,differential,90.11208000000005
report_hypothetical,0.6,0.8,0.6,0.11,0.11,equal,183.99360000000001
report_hypothetical,0.6,0.8,0.6,0.11,0.31,differential,40.58976000000007
report_hypothetical,0.6,0.8,1,0.11,0.11,equal,120.00000000000011
report_hypothetical,0.6,0.8,1,0.11,0.31,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.12,0.12,equal,294.52799999999996
report_hypothetical,0.6,0.8,0,0.12,0.32,differential,151.99679999999995
report_hypothetical,0.6,0.8,0.3,0.12,0.12,equal,242.1695999999999
report_hypothetical,0.6,0.8,0.3,0.12,0.32,differential,98.76575999999989
report_hypothetical,0.6,0.8,0.6,0.12,0.12,equal,189.81119999999999
report_hypothetical,0.6,0.8,0.6,0.12,0.32,differential,45.53471999999999
report_hypothetical,0.6,0.8,1,0.12,0.12,equal,120.0
report_hypothetical,0.6,0.8,1,0.12,0.32,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.13,0.13,equal,309.07200000000006
report_hypothetical,0.6,0.8,0,0.13,0.33,differential,164.35920000000007
report_hypothetical,0.6,0.8,0.3,0.13,0.13,equal,252.35040000000004
report_hypothetical,0.6,0.8,0.3,0.13,0.33,differential,107.41944000000001
report_hypothetical,0.6,0.8,0.6,0.13,0.13,equal,195.62880000000007
report_hypothetical,0.6,0.8,0.6,0.13,0.33,differential,50.479680000000144
report_hypothetical,0.6,0.8,1,0.13,0.13,equal,120.00000000000023
report_hypothetical,0.6,0.8,1,0.13,0.33,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.14,0.14,equal,323.61600000000004
report_hypothetical,0.6,0.8,0,0.14,0.34,differential,176.72160000000008
report_hypothetical,0.6,0.8,0.3,0.14,0.14,equal,262.53119999999996
report_hypothetical,0.6,0.8,0.3,0.14,0.34,differential,116.07312000000002
report_hypothetical,0.6,0.8,0.6,0.14,0.14,equal,201.44640000000004
report_hypothetical,0.6,0.8,0.6,0.14,0.34,differential,55.42464000000007
report_hypothetical,0.6,0.8,1,0.14,0.14,equal,120.0
report_hypothetical,0.6,0.8,1,0.14,0.34,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.15,0.15,equal,338.16
report_hypothetical,0.6,0.8,0,0.15,0.35,differential,189.0840000000001
report_hypothetical,0.6,0.8,0.3,0.15,0.15,equal,272.71200000000005
report_hypothetical,0.6,0.8,0.3,0.15,0.35,differential,124.72680000000014
report_hypothetical,0.6,0.8,0.6,0.15,0.15,equal,207.264
report_hypothetical,0.6,0.8,0.6,0.15,0.35,differential,60.369600000000105
report_hypothetical,0.6,0.8,1,0.15,0.15,equal,120.00000000000011
report_hypothetical,0.6,0.8,1,0.15,0.35,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.16,0.16,equal,352.70399999999995
report_hypothetical,0.6,0.8,0,0.16,0.36,differential,201.4464
report_hypothetical,0.6,0.8,0.3,0.16,0.16,equal,282.89279999999997
report_hypothetical,0.6,0.8,0.3,0.16,0.36,differential,133.38048000000003
report_hypothetical,0.6,0.8,0.6,0.16,0.16,equal,213.08159999999987
report_hypothetical,0.6,0.8,0.6,0.16,0.36,differential,65.31455999999991
report_hypothetical,0.6,0.8,1,0.16,0.16,equal,119.99999999999989
report_hypothetical,0.6,0.8,1,0.16,0.36,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.17,0.17,equal,367.24800000000005
report_hypothetical,0.6,0.8,0,0.17,0.37,differential,213.80880000000008
report_hypothetical,0.6,0.8,0.3,0.17,0.17,equal,293.07360000000006
report_hypothetical,0.6,0.8,0.3,0.17,0.37,differential,142.03416000000016
report_hypothetical,0.6,0.8,0.6,0.17,0.17,equal,218.89920000000006
report_hypothetical,0.6,0.8,0.6,0.17,0.37,differential,70.25952000000007
report_hypothetical,0.6,0.8,1,0.17,0.17,equal,120.0
report_hypothetical,0.6,0.8,1,0.17,0.37,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.18,0.18,equal,381.792
report_hypothetical,0.6,0.8,0,0.18,0.38,differential,226.1712
report_hypothetical,0.6,0.8,0.3,0.18,0.18,equal,303.25440000000003
report_hypothetical,0.6,0.8,0.3,0.18,0.38,differential,150.68784000000005
report_hypothetical,0.6,0.8,0.6,0.18,0.18,equal,224.71680000000003
report_hypothetical,0.6,0.8,0.6,0.18,0.38,differential,75.20447999999999
report_hypothetical,0.6,0.8,1,0.18,0.18,equal,120.0
report_hypothetical,0.6,0.8,1,0.18,0.38,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.19,0.19,equal,396.336
report_hypothetical,0.6,0.8,0,0.19,0.39,differential,238.53360000000004
report_hypothetical,0.6,0.8,0.3,0.19,0.19,equal,313.43519999999995
report_hypothetical,0.6,0.8,0.3,0.19,0.39,differential,159.34151999999995
report_hypothetical,0.6,0.8,0.6,0.19,0.19,equal,230.5344
report_hypothetical,0.6,0.8,0.6,0.19,0.39,differential,80.14944000000003
report_hypothetical,0.6,0.8,1,0.19,0.19,equal,120.0
report_hypothetical,0.6,0.8,1,0.19,0.39,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.2,0.2,equal,410.88000000000005
report_hypothetical,0.6,0.8,0,0.2,0.4,differential,250.89600000000007
report_hypothetical,0.6,0.8,0.3,0.2,0.2,equal,323.61599999999993
report_hypothetical,0.6,0.8,0.3,0.2,0.4,differential,167.99519999999995
report_hypothetical,0.6,0.8,0.6,0.2,0.2,equal,236.35199999999986
report_hypothetical,0.6,0.8,0.6,0.2,0.4,differential,85.09439999999995
report_hypothetical,0.6,0.8,1,0.2,0.2,equal,120.0
report_hypothetical,0.6,0.8,1,0.2,0.4,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.21,0.21,equal,425.424
report_hypothetical,0.6,0.8,0,0.21,0.41000000000000003,differential,263.2584
report_hypothetical,0.6,0.8,0.3,0.21,0.21,equal,333.7968
report_hypothetical,0.6,0.8,0.3,0.21,0.41000000000000003,differential,176.64888000000008
report_hypothetical,0.6,0.8,0.6,0.21,0.21,equal,242.16960000000006
report_hypothetical,0.6,0.8,0.6,0.21,0.41000000000000003,differential,90.03935999999999
report_hypothetical,0.6,0.8,1,0.21,0.21,equal,120.0
report_hypothetical,0.6,0.8,1,0.21,0.41000000000000003,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.22,0.22,equal,439.9680000000001
report_hypothetical,0.6,0.8,0,0.22,0.42000000000000004,differential,275.62080000000003
report_hypothetical,0.6,0.8,0.3,0.22,0.22,equal,343.9776
report_hypothetical,0.6,0.8,0.3,0.22,0.42000000000000004,differential,185.30255999999997
